"id";"station_id";"date";"mw_art";"uv_index";"unit";"station_name";"betreiber";"betreiber_id";"tagesgang_url"
"32407";"HY";"2020-02-20T20:00:00Z";"UVI";"1";;"Norderney";"Gewerbeaufsichtsamt Hildesheim";"GAA-Hi";"https://uvi.bfs.de/Tagesgrafiken/Legende/indexHY.html"
"32459";"HY";"2020-02-21T20:00:00Z";"UVI";"1";;"Norderney";"Gewerbeaufsichtsamt Hildesheim";"GAA-Hi";"https://uvi.bfs.de/Tagesgrafiken/Legende/indexHY.html"
"32473";"HY";"2020-02-22T20:00:00Z";"UVI";"1";;"Norderney";"Gewerbeaufsichtsamt Hildesheim";"GAA-Hi";"https://uvi.bfs.de/Tagesgrafiken/Legende/indexHY.html"
"32515";"HY";"2020-02-23T20:00:00Z";"UVI";"0";;"Norderney";"Gewerbeaufsichtsamt Hildesheim";"GAA-Hi";"https://uvi.bfs.de/Tagesgrafiken/Legende/indexHY.html"
"32549";"HY";"2020-02-24T20:00:00Z";"UVI";"0";;"Norderney";"Gewerbeaufsichtsamt Hildesheim";"GAA-Hi";"https://uvi.bfs.de/Tagesgrafiken/Legende/indexHY.html"
"32575";"HY";"2020-02-25T20:00:00Z";"UVI";"1";;"Norderney";"Gewerbeaufsichtsamt Hildesheim";"GAA-Hi";"https://uvi.bfs.de/Tagesgrafiken/Legende/indexHY.html"
"32603";"HY";"2020-02-26T20:00:00Z";"UVI";"1";;"Norderney";"Gewerbeaufsichtsamt Hildesheim";"GAA-Hi";"https://uvi.bfs.de/Tagesgrafiken/Legende/indexHY.html"
"32628";"HY";"2020-02-27T20:00:00Z";"UVI";"1";;"Norderney";"Gewerbeaufsichtsamt Hildesheim";"GAA-Hi";"https://uvi.bfs.de/Tagesgrafiken/Legende/indexHY.html"
"32662";"HY";"2020-02-28T20:00:00Z";"UVI";"1";;"Norderney";"Gewerbeaufsichtsamt Hildesheim";"GAA-Hi";"https://uvi.bfs.de/Tagesgrafiken/Legende/indexHY.html"
"32711";"HY";"2020-02-29T20:00:00Z";"UVI";"1";;"Norderney";"Gewerbeaufsichtsamt Hildesheim";"GAA-Hi";"https://uvi.bfs.de/Tagesgrafiken/Legende/indexHY.html"
"32737";"HY";"2020-03-01T20:00:00Z";"UVI";"1";;"Norderney";"Gewerbeaufsichtsamt Hildesheim";"GAA-Hi";"https://uvi.bfs.de/Tagesgrafiken/Legende/indexHY.html"
"32780";"HY";"2020-03-02T20:00:00Z";"UVI";"1";;"Norderney";"Gewerbeaufsichtsamt Hildesheim";"GAA-Hi";"https://uvi.bfs.de/Tagesgrafiken/Legende/indexHY.html"
"32813";"HY";"2020-03-03T20:00:00Z";"UVI";"1";;"Norderney";"Gewerbeaufsichtsamt Hildesheim";"GAA-Hi";"https://uvi.bfs.de/Tagesgrafiken/Legende/indexHY.html"
"32828";"HY";"2020-03-04T20:00:00Z";"UVI";"1";;"Norderney";"Gewerbeaufsichtsamt Hildesheim";"GAA-Hi";"https://uvi.bfs.de/Tagesgrafiken/Legende/indexHY.html"
"32869";"HY";"2020-03-05T20:00:00Z";"UVI";"2";;"Norderney";"Gewerbeaufsichtsamt Hildesheim";"GAA-Hi";"https://uvi.bfs.de/Tagesgrafiken/Legende/indexHY.html"
"32902";"HY";"2020-03-06T20:00:00Z";"UVI";"1";;"Norderney";"Gewerbeaufsichtsamt Hildesheim";"GAA-Hi";"https://uvi.bfs.de/Tagesgrafiken/Legende/indexHY.html"
"32930";"HY";"2020-03-07T20:00:00Z";"UVI";"2";;"Norderney";"Gewerbeaufsichtsamt Hildesheim";"GAA-Hi";"https://uvi.bfs.de/Tagesgrafiken/Legende/indexHY.html"
"32967";"HY";"2020-03-08T20:00:00Z";"UVI";"1";;"Norderney";"Gewerbeaufsichtsamt Hildesheim";"GAA-Hi";"https://uvi.bfs.de/Tagesgrafiken/Legende/indexHY.html"
"33010";"HY";"2020-03-09T20:00:00Z";"UVI";"2";;"Norderney";"Gewerbeaufsichtsamt Hildesheim";"GAA-Hi";"https://uvi.bfs.de/Tagesgrafiken/Legende/indexHY.html"
"33049";"HY";"2020-03-10T20:00:00Z";"UVI";"1";;"Norderney";"Gewerbeaufsichtsamt Hildesheim";"GAA-Hi";"https://uvi.bfs.de/Tagesgrafiken/Legende/indexHY.html"
"33080";"HY";"2020-03-11T20:00:00Z";"UVI";"2";;"Norderney";"Gewerbeaufsichtsamt Hildesheim";"GAA-Hi";"https://uvi.bfs.de/Tagesgrafiken/Legende/indexHY.html"
"33115";"HY";"2020-03-12T20:00:00Z";"UVI";"2";;"Norderney";"Gewerbeaufsichtsamt Hildesheim";"GAA-Hi";"https://uvi.bfs.de/Tagesgrafiken/Legende/indexHY.html"
"33128";"HY";"2020-03-13T20:00:00Z";"UVI";"2";;"Norderney";"Gewerbeaufsichtsamt Hildesheim";"GAA-Hi";"https://uvi.bfs.de/Tagesgrafiken/Legende/indexHY.html"
"33166";"HY";"2020-03-14T20:00:00Z";"UVI";"2";;"Norderney";"Gewerbeaufsichtsamt Hildesheim";"GAA-Hi";"https://uvi.bfs.de/Tagesgrafiken/Legende/indexHY.html"
"33199";"HY";"2020-03-15T20:00:00Z";"UVI";"2";;"Norderney";"Gewerbeaufsichtsamt Hildesheim";"GAA-Hi";"https://uvi.bfs.de/Tagesgrafiken/Legende/indexHY.html"
"33229";"HY";"2020-03-16T20:00:00Z";"UVI";"2";;"Norderney";"Gewerbeaufsichtsamt Hildesheim";"GAA-Hi";"https://uvi.bfs.de/Tagesgrafiken/Legende/indexHY.html"
"33277";"HY";"2020-03-17T20:00:00Z";"UVI";"2";;"Norderney";"Gewerbeaufsichtsamt Hildesheim";"GAA-Hi";"https://uvi.bfs.de/Tagesgrafiken/Legende/indexHY.html"
"33289";"HY";"2020-03-18T20:00:00Z";"UVI";"1";;"Norderney";"Gewerbeaufsichtsamt Hildesheim";"GAA-Hi";"https://uvi.bfs.de/Tagesgrafiken/Legende/indexHY.html"
"33331";"HY";"2020-03-19T20:00:00Z";"UVI";"2";;"Norderney";"Gewerbeaufsichtsamt Hildesheim";"GAA-Hi";"https://uvi.bfs.de/Tagesgrafiken/Legende/indexHY.html"
"33371";"HY";"2020-03-20T20:00:00Z";"UVI";"2";;"Norderney";"Gewerbeaufsichtsamt Hildesheim";"GAA-Hi";"https://uvi.bfs.de/Tagesgrafiken/Legende/indexHY.html"
"33397";"HY";"2020-03-21T20:00:00Z";"UVI";"2";;"Norderney";"Gewerbeaufsichtsamt Hildesheim";"GAA-Hi";"https://uvi.bfs.de/Tagesgrafiken/Legende/indexHY.html"
"33430";"HY";"2020-03-22T20:00:00Z";"UVI";"2";;"Norderney";"Gewerbeaufsichtsamt Hildesheim";"GAA-Hi";"https://uvi.bfs.de/Tagesgrafiken/Legende/indexHY.html"
"33462";"HY";"2020-03-23T20:00:00Z";"UVI";"3";;"Norderney";"Gewerbeaufsichtsamt Hildesheim";"GAA-Hi";"https://uvi.bfs.de/Tagesgrafiken/Legende/indexHY.html"
